x,y,z
0,0,0
1920, 1080, 0
1920, 1080, 0
1920, 1080, 0
1920, 1080, 0
1920, 1080, 0
1920, 1080, 0
1920, 1080, 0
1920, 1080, 0
1920, 1080, 0
1920, 1080, 0
1920, 1080, 0
467.06841,441.21304,0.00011
462.83581,430.05852,0.00020
466.95591,429.98700,0.00023
461.98422,410.61484,0.00021
465.74183,410.90854,0.00025
466.21908,409.85250,0.00024
466.85389,408.25174,0.00024
469.23014,407.60788,0.00020
471.99343,401.76706,0.00017
475.88161,391.93218,0.00017
475.38631,390.77440,0.00014
0,0,0
0,0,0
0,0,0
294.54918,448.44293,0.00003
0,0,0
179.52496,482.12950,0.00008
150.77587,488.88860,0.00009
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1117.38144,777.63363,0.00061
0,0,0
1321.02036,774.49081,-0.00032
0,0,0
1086.86279,591.33851,-0.00006
1065.79330,567.27002,0.00015
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
900.40724,441.00930,0.00039
900.79491,414.93874,0.00032
934.43687,373.10114,0.00024
908.89755,382.48921,0.00032
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
145.31756,288.30707,-0.00010
0,0,0
0,0,0
0,0,0
280.08336,207.45506,0.00013
0,0,0
0,0,0
0,0,0
215.91803,268.75430,0.00007
207.18375,280.22890,0.00020
200.39537,292.48443,0.00013
195.11503,306.95114,0.00016
0,0,0
0,0,0
420.43219,167.30907,0.00021
0,0,0
0,0,0
365.08023,162.58139,0.00011
350.37486,160.11465,0.00017
330.45834,169.38636,0.00018
309.57124,174.81938,0.00021
295.64469,184.31269,0.00016
271.77280,192.45652,0.00009
255.90978,204.45538,0.00002
252.53938,209.83236,-0.00005
237.36038,225.84254,-0.00011
228.59951,223.80258,-0.00013
227.98931,223.87691,-0.00019
231.96362,221.39932,-0.00019
231.52854,209.77648,-0.00005
239.90268,213.78710,-0.00012
248.03576,203.90504,-0.00016
251.37966,197.61439,-0.00019
252.77813,186.96467,-0.00014
258.32125,171.28095,-0.00016
257.56153,158.90595,-0.00019
263.33456,141.05127,-0.00022
266.29048,125.36317,-0.00028
277.51505,101.87929,-0.00022
277.63850,66.05116,-0.00018
284.57949,43.28799,-0.00026
295.99731,24.99434,-0.00052
302.87189,16.81158,-0.00013
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
