x,y,z
860, 540, 0
860, 540, 0
860, 540, 0
860, 540, 0
860, 540, 0
860, 540, 0
860, 540, 0
860, 540, 0
860, 540, 0
100, 100, 0
100, 100, 0
100, 100, 0
0,0,0
0,0,0
100, 500, 0
100, 500, 0
100, 500, 0
100, 100, 0
100, 100, 0
100, 100, 0
0,0,0
0,0,0
0,0,0
100, 500, 0
100, 500, 0
100, 500, 0
100, 100, 0
100, 100, 0
100, 100, 0
0,0,0
0,0,0
0,0,0
0,0,0
100, 500, 0
100, 500, 0
100, 500, 0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1503.74931,614.79198,-0.00015
1487.67025,621.66007,-0.00017
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1169.72431,491.74595,0.00002
1167.91706,491.29718,0.00003
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
897.16095,285.10999,-0.00000
0,0,0
905.18606,295.71641,-0.00005
0,0,0
0,0,0
0,0,0
0,0,0
1153.42564,408.24723,0.00002
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1177.34447,384.35387,0.00003
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1745.53825,546.05345,0.00051
0,0,0
0,0,0
0,0,0
1068.56976,444.92530,0.00023
0,0,0
1033.65543,457.08128,-0.00007
1028.84274,451.24409,-0.00005
1023.14060,457.79968,-0.00000
1018.11882,464.62174,-0.00000
1016.87943,462.94222,0.00002
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1517.40589,603.12019,0.00010
1499.63470,629.50901,-0.00006
1514.88441,641.09338,0.00017
1525.86639,647.69065,0.00020
1536.41235,646.79677,0.00020
1541.74850,646.39147,0.00023
1544.51935,644.54229,0.00022
1545.50297,639.68986,0.00022
1543.92323,637.70923,0.00026
1544.89391,634.94685,0.00028
1545.32433,633.20221,0.00025
1545.56740,628.87178,0.00029
1545.65746,625.60742,0.00029
1545.00835,623.63104,0.00033
1544.35352,619.38725,0.00032
1538.72829,619.13291,0.00033
1524.34914,617.25225,0.00030
1544.76139,611.72384,0.00019
1518.07365,609.05178,0.00019
0,0,0
0,0,0
1508.14808,604.95669,0.00017
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1310.55931,890.80970,0.00004
1304.32308,896.89424,0.00007
1276.82510,902.43965,0.00001
0,0,0
0,0,0
1218.79543,894.64356,0.00049
0,0,0
1162.76985,879.26125,0.00048
1162.91565,881.13785,0.00048
1155.85556,876.41795,0.00046
1155.74902,879.65843,0.00046
1160.71358,880.48491,0.00048
1160.15808,877.24096,0.00048
1158.58280,877.97501,0.00046
1159.42543,876.87835,0.00041
1158.53336,877.08112,0.00036
1159.86305,876.47904,0.00038
1160.31864,874.15917,0.00039
1162.21333,872.67769,0.00040
0,0,0
307.44355,437.92635,-0.00006
1171.65081,869.07840,0.00040
1174.94877,864.76026,0.00042
1175.48801,860.40665,0.00045
1171.73298,851.44991,0.00048
1171.33049,850.85820,0.00050
1167.33707,840.83564,0.00047
1164.04736,830.78817,0.00051
1158.76751,811.07091,0.00044
1154.64352,797.80788,0.00031
1154.28246,792.21232,0.00027
1150.91412,754.17978,-0.00005
1137.98710,784.37851,0.00025
1142.61028,760.43715,0.00021
1147.36050,726.82897,0.00025
1141.44630,681.96986,0.00014
1123.88821,642.42944,0.00012
1103.17108,621.70539,0.00020
1085.43571,613.09955,0.00026
0,0,0
0,0,0
1082.39021,590.88011,0.00027
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
