x,y,z
1410.63675,452.68064,0.00036
0,0,0
0,0,0
0,0,0
1487.58362,631.73097,-0.00010
1498.54008,647.06449,0.00016
1513.55484,652.30098,0.00020
1534.25514,650.03589,0.00024
1540.20378,649.17696,0.00023
1545.32364,644.20833,0.00024
1545.79170,640.31415,0.00023
1543.74767,638.31465,0.00026
1544.91726,634.53435,0.00028
1544.78554,632.67519,0.00025
1545.63423,627.84934,0.00029
1545.32078,624.84737,0.00029
1545.08904,622.99240,0.00032
1544.06834,618.95247,0.00032
1537.50595,618.31982,0.00032
1528.84060,617.20404,0.00030
1513.66699,614.44804,0.00031
1500.20714,608.12564,0.00023
0,0,0
0,0,0
1502.79121,606.14360,0.00019
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1257.39315,877.47811,0.00040
1217.54002,871.70714,0.00035
1193.11535,867.95973,0.00038
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1166.83846,884.82140,0.00063
1163.50330,883.81268,0.00052
1162.97585,881.82355,0.00051
1163.45833,878.99358,0.00049
1161.79470,877.77899,0.00048
1157.39868,876.58809,0.00044
1159.50474,878.13826,0.00041
1159.93549,876.58751,0.00036
1160.25730,876.19464,0.00038
1159.84829,874.42767,0.00038
1162.77351,874.33381,0.00040
1165.36285,870.79059,0.00038
1167.49203,868.55093,0.00041
1171.03786,867.10228,0.00040
1173.18913,862.90297,0.00042
1173.27885,859.29917,0.00045
